RecordID,HP Category,Year,Month,u.CAGI,d.CAGI,u.IR,d.IR,u.NonIR,d.NonIR,r3mo_d_CAGI,r3mo_d_IR,r3mo_d_NonIR,r3mo_u_CAGI,r3mo_u_IR,r3mo_u_NonIR,r6mo_d_CAGI,r6mo_d_IR,r6mo_d_NonIR,r6mo_u_CAGI,r6mo_u_IR,r6mo_u_NonIR
103,100 hp,2011,7,206,5944414,44,1213580,162,4730834,6341084,1336794,5004290,222.666666666667,47.3333333333333,175.333333333333,6099377.66666667,1428409.33333333,4670968.33333333,218,51.6666666666667,166.333333333333
104,100 hp,2011,8,260,7645462,52,1430134,208,6215328,6773831.33333333,1359966.66666667,5413864.66666667,237.333333333333,49.3333333333333,188,6494051,1440121.66666667,5053929.33333333,228,51,177
105,100 hp,2011,9,252,7323270,66,1947898,186,5375372,6971048.66666667,1530537.33333333,5440511.33333333,239.333333333333,54,185.333333333333,6602625.33333333,1477314,5125311.33333333,231,51.6666666666667,179.333333333333
106,100 hp,2011,10,278,8412016,106,3066842,172,5345174,7793582.66666667,2148291.33333333,5645291.33333333,263.333333333333,74.6666666666667,188.666666666667,7067333.33333333,1742542.66666667,5324790.66666667,243,61,182
107,100 hp,2011,11,236,6834174,70,1924944,166,4909230,7523153.33333333,2313228,5209925.33333333,255.333333333333,80.6666666666667,174.666666666667,7148492.33333333,1836597.33333333,5311895,246.333333333333,65,181.333333333333
108,100 hp,2011,12,306,9081612,82,2451008,224,6630604,8109267.33333333,2480931.33333333,5628336,273.333333333333,86,187.333333333333,7540158,2005734.33333333,5534423.66666667,256.333333333333,70,186.333333333333
109,100 hp,2012,1,192,5581532,26,803660,166,4777872,7165772.66666667,1726537.33333333,5439235.33333333,244.666666666667,59.3333333333333,185.333333333333,7479677.66666667,1937414.33333333,5542263.33333333,254,67,187
110,100 hp,2012,2,260,7732100,58,1678606,202,6053494,7465081.33333333,1644424.66666667,5820656.66666667,252.666666666667,55.3333333333333,197.333333333333,7494117.33333333,1978826.33333333,5515291,254,68,186
111,100 hp,2012,3,264,8080110,48,1470718,216,6609392,7131247.33333333,1317661.33333333,5813586,238.666666666667,44,194.666666666667,7620257.33333333,1899296.33333333,5720961,256,65,191
112,100 hp,2012,4,332,9876564,88,2642414,244,7234150,8562924.66666667,1930579.33333333,6632345.33333333,285.333333333333,64.6666666666667,220.666666666667,7864348.66666667,1828558.33333333,6035790.33333333,265,62,203
